_id;Focal Length;Aperture;Filtersize;Magnification;Minimal Focus;Mount;Sensor compatibility;Weight;Size;
Sigma AF 200-500mm 2.8 DG Asp APO;200-500mm;1:2.8;72mm;1:7.70;2.00m;Canon EF, Nikon F;APS-C/ Kleinbild;15700g;236.5x726mm;
Pentax smc DA 560mm 5.6 ED AW;560mm;1:5.6;112mm;1:10.00;5.60m;Pentax K;APS-C;3040g;130x522mm;
Sony FE 16-35mm 4.0 ZA OSS;16-35mm;1:4.0;72mm;1:5.26;0.28m;Sony E;APS-C/ Kleinbild;518g;78x98.5mm;
Nikon AF-S 8-15mm 3.5-4.5E ED;8-15mm;1:3.5-1:4.5;29x27mm;1:2.94;0.16m;Nikon F;APS-C/ Kleinbild;485g;77.5x83mm;
Meyer Optik Görlitz Figmentum 85mm 2.0;85mm;1:2.0;55mm;;0.85m;Nikon F, Canon EF;APS-C/ Kleinbild;425g;;
Olympus Zuiko digital ED 8mm 3.5 Fisheye;8mm;1:3.5;;1:4.55;0.14m;Four-Thirds;Four-Thirds;455g;79x78mm;
Pentax Q 04 Toy Lens Wide 6.3mm 7.1;6.3mm;1:7.1;;1:6.67;0.07m;Pentax Q;Pentax Q;21g;40.6x25mm;
Leica Summilux-SL 50mm 1.4 ASPH;50mm;1:1.4;82mm;1:10.00;0.60m;Leica L;APS-C/ Kleinbild;1070g;88x124mm;
Voigtländer Nokton 10.5mm 0.95;10.5mm;1:0.95;72mm;;0.17m;Micro-Four-Thirds;Four-Thirds;586g;77x82.4mm;
Dörr 8mm 3.5 Fisheye;8mm;1:3.5;;;0.30m;Nikon F, Canon EF, Sony A;APS-C;430g;;
Nikon AF-S VR 400mm 2.8E FL ED;400mm;1:2.8;40.5mm;1:6.30;2.60m;Nikon F;APS-C/ Kleinbild;3800g;159.5x358mm;
Canon EF-S 18-135mm 3.5-5.6 IS STM mit EW-73B und LC-Kit;18-135mm;1:3.5-1:5.6;67mm;1:3.57;0.39m;Canon EF-S;APS-C;480g;76.6x96mm;
Zeiss ZM Biogon T* 28mm 2.8;28mm;1:2.8;46mm;1:16.00;0.50m;Leica M;APS-C/ Kleinbild;220g;;
Voigtländer Heliar 12mm 5.6;12mm;1:5.6;;;0.30m;Sony E;APS-C/ Kleinbild;;67.4x74.3mm;
Tamron AF 28-300mm 3.5-6.3 XR Di LD Asp IF Makro;28-300mm;1:3.5-1:6.3;62mm;1:2.90;0.49m;Sony A;APS-C/ Kleinbild;420g;73x83.7mm;
Samyang 24mm 1.5 ED AS UMC VDSLR;24mm;1:1.5;77mm;;0.25m;Canon EF;APS-C/ Kleinbild;680g;83x97mm;
Lensbaby Twist 60mm 2.5;60mm;1:2.5;46mm;;0.46m;Canon EF, Sony E, Nikon F;APS-C/ Kleinbild;200g;;
Sony FE 70-300mm 4.5-5.6 G OSS;70-300mm;1:4.0-1:5.6;72mm;1:3.23;0.90m;Sony E;APS-C/ Kleinbild;854g;84x143.5mm;
